Name;XT;Module;Channel

TEMP_ENTER;AI;1;1
TEMP_EXIT;AI;1;2
HUMIDITY_EXIT;AI;1;3

TEMP_BURNER;AO;2;1

M1_ISON;DO;3;1
M2_ISON;DO;3;2
M3_ISON;DO;3;3
M4_ISON;DO;3;4
M5_ISON;DO;3;5
M6_ISON;DO;3;6
M7_ISON;DO;3;7

M8_ISON;DO;4;2
M10_ISON;DO;4;3
BURNER_START;DO;4;4
M11_ISON;DO;4;7
M12_ISON;DO;4;8

M13_ISON;DO;5;1
FILTER_START;DO;5;2
M14_ISON;DO;5;4
M15_ISON;DO;5;5
M16_ISON;DO;5;6
M17_ISON;DO;5;7
M18_ISON;DO;5;8

VIB1_ISON;DO;6;1
M20_ISON;DO;6;4
M19_ISON;DO;6;5
VIB2_ISON;DO;6;6

FLOWAUGER_ISON;DO;7;1
HORIZISONTALAUGER_ISON;DO;7;2
VERTICALAUGER_ISON;DO;7;3
COMPRES_ISON;DO;7;4
VENTSLUDGEAUGER_ISON;DO;7;6
FAN_ISON;DO;7;7

SIREN;DO;9;7

M1_ROPE;DI;10;1
M1_BELT;DI;10;2
M2_WORK;DI;10;3
M3_ROPE;DI;10;4
M3_BELT;DI;10;5
M4_WORK;DI;10;6
M5_ROPE;DI;10;7
M5_BELT;DI;10;8

M6_WORK;DI;11;1
M7_ROPE;DI;11;2
M7_BELT;DI;11;3
HOPPER_HIGH;DI;11;4
HOPPER_LOW;DI;11;5

M8_ROPE;DI;12;1
M8_BELT;DI;12;2
PACK1;DI;12;3
M10_ROPE;DI;12;4
M10_BELT;DI;12;5

M11_WORK;DI;13;1
AUGER_RUNNING;DI;13;2
AUGER_MOTION;DI;13;3
M14_ROPE;DI;13;6
M14_BELT;DI;13;7
M15_WORK;DI;13;8

M16_ROPE;DI;14;1
M16_BELT;DI;14;2
M17_WORK;DI;14;3
M18_ROPE;DI;14;4
M18_BELT;DI;14;5
BIN38_HIGH;DI;14;6
BIN38_LOW;DI;14;7

M20_ROPE;DI;15;3
M20_BELT;DI;15;4
PACK2;DI;15;5
M19_ROPE;DI;15;6
M19_BELT;DI;15;7
BIN02_HIGH;DI;15;8

BIN02_LOW;DI;16;1
FLOWAUGER_MOTION;DI;16;5
PACKINGHOPPER_HIGH;DI;16;6
HORIZONTALAUGER_MOTION;DI;16;7
HORIZONTALAUGER_RUNNING;DI;16;8

VERTICALAUGER_MOTION;DI;17;1
SILO02_HIGH;DI;17;2
SILO02_LOW;DI;17;3
COMPRES_WORK;DI;17;4
FAN_RUNNING;DI;17;5
EMERGENCY;DI;17;7

M1_ESTART;DI;18;2
M1_ESTOP;DI;18;3
M11_ESTART;DI;18;4
M11_ESTOP;DI;18;5
M1_MAN;DI;18;6  
M1_START;DI;18;7
M1_STOP;DI;18;8

M2_MAN;DI;19;1
M2_START;DI;19;2
M2_STOP;DI;19;3
M3_MAN;DI;19;4
M3_START;DI;19;5
M3_STOP;DI;19;6
M4_MAN;DI;19;7
M4_START;DI;19;8

M4_STOP;DI;20;1
M5_MAN;DI;20;2
M5_START;DI;20;3
M5_STOP;DI;20;4
M6_MAN;DI;20;5
M6_START;DI;20;6
M6_STOP;DI;20;7
M7_MAN;DI;20;8

M7_START;DI;21;1
M7_STOP;DI;21;2
M8_MAN;DI;21;3
M8_START;DI;21;4
M8_STOP;DI;21;5
M10_MAN;DI;21;6
M10_START;DI;21;7
M10_STOP;DI;21;8

M12_MAN;DI;22;1
M12_START;DI;22;2
M12_STOP;DI;22;3
M13_MAN;DI;22;4
M13_START;DI;22;5
M13_STOP;DI;22;6
M14_MAN;DI;22;7
M14_START;DI;22;8

M14_STOP;DI;23;1
M15_MAN;DI;23;2
M15_START;DI;23;3
M15_STOP;DI;23;4
M16_MAN;DI;23;5
M16_START;DI;23;6
M16_STOP;DI;23;7
M17_MAN;DI;23;8

M17_START;DI;24;1
M17_STOP;DI;24;2
M18_MAN;DI;24;3
M18_START;DI;24;4
M18_STOP;DI;24;5
M19_MAN;DI;24;6
M19_START;DI;24;7
M19_STOP;DI;24;8

M20_MAN;DI;25;1
M20_START;DI;25;2
M20_STOP;DI;25;3
M22_MAN;DI;25;4
M22_START;DI;25;5
M22_STOP;DI;25;6
M24_MAN;DI;25;7
M24_START;DI;25;8

M24_STOP;DI;26;1
M25_MAN;DI;26;2
M25_START;DI;26;3
M25_STOP;DI;26;4
M26_MAN;DI;26;5
M26_START;DI;26;6
M26_STOP;DI;26;7
M27_MAN;DI;26;8

M27_START;DI;27;1
M27_STOP;DI;27;2
COMPRES_MAN;DI;27;3
COMPRES_START;DI;27;4
COMPRES_STOP;DI;27;5
CASCADE_START;DI;27;6
CASCADE_STOP;DI;27;7